Id;Date_naissance;Sexe;Job;Emploi_actuel;Logement;Duree_Residence;Proprietaire;Telephone;Historique_credit;Nb_credit_existants;Compte_courant;Compte_cheque;Motif_credit;Montant_credit;Duree_credit_en_mois;Garants;Autres_acomptes;Typologie_client
13;04/06/1996;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;1;Voiture ou autre;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Radio/Television;1567;12;0;;Bon client
14;09/07/1958;Homme;Non qualifie;>=7 ans;Proprietaire;4;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Car (new);1199;24;0;;Mauvais client
15;04/11/1990;Femme;Qualifie/fonctionnaire;1-4 ans;Location;4;Voiture ou autre;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Car (new);1403;15;0;;Bon client
16;13/08/1986;Femme;Non qualifie;1-4 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;< 0EUR;100-500 EUR;Radio/Television;1282;24;0;;Mauvais client
17;12/09/1965;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Accord de construction;0;Compte critique / Autres credits (autre banque);2;Pas de compte courant;Compte cheque inconnu;Radio/Television;2424;24;0;;Bon client
18;29/06/1993;Homme;Qualifie/fonctionnaire;< 1 an;Proprietaire;3;Voiture ou autre;0;Pas de credit/credit rembourse;3;< 0EUR;Compte cheque inconnu;Affaires;8072;30;0;;Bon client
19;23/06/1974;Femme;Tres qualifie/independants;>=7 ans;Logement gratuit;2;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Car (used);12579;24;0;;Mauvais client
20;03/03/1987;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;2;Voiture ou autre;1;Pas de credit/credit rembourse;1;Pas de compte courant;500-1000 EUR;Radio/Television;3430;24;0;;Bon client
21;24/03/1970;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;4;Voiture ou autre;1;Compte critique / Autres credits (autre banque);3;Pas de compte courant;< 100 EUR;Car (new);2134;9;0;;Bon client
22;02/09/1974;Homme;Qualifie/fonctionnaire;1-4 ans;Location;3;Bien immobilier;0;Pas de credit/credit rembourse;1;< 0EUR;500-1000 EUR;Radio/Television;2647;6;0;;Bon client
23;04/11/1970;Homme;Non qualifie;< 1 an;Location;3;Bien immobilier;0;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Car (new);2241;10;0;;Bon client
24;02/04/1974;Homme;Qualifie/fonctionnaire;< 1 an;Proprietaire;4;Accord de construction;0;Compte critique / Autres credits (autre banque);1;0-200 EUR;100-500 EUR;Car (used);1804;12;0;Aucun;Bon client
25;28/02/1992;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;1;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;Pas de compte courant;Compte cheque inconnu;Mobilier /equipements;2069;10;0;;Bon client
26;29/08/1982;Homme;Non qualifie;1-4 ans;Proprietaire;2;Bien immobilier;1;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Mobilier /equipements;1374;6;0;;Bon client
27;28/11/1979;Homme;Non qualifie;>=7 ans;Proprietaire;4;Voiture ou autre;0;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Radio/Television;426;6;0;;Bon client
28;20/06/1976;Femme;Qualifie/fonctionnaire;1-4 ans;Location;3;Bien immobilier;0;Pas de credit/credit rembourse;2;>=200 EUR;>=1000 EUR;Radio/Television;409;12;0;;Bon client
29;19/03/1984;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Radio/Television;2415;7;1;;Bon client
30;05/08/1955;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Inconnu/Pas de propriete;1;Au moins un retard de paiement;2;< 0EUR;< 100 EUR;Affaires;6836;60;0;;Mauvais client
31;02/04/1982;Homme;Qualifie/fonctionnaire;< 1 an;Proprietaire;3;Bien immobilier;1;Pas de credit/credit rembourse;1;0-200 EUR;>=1000 EUR;Affaires;1913;18;0;;Bon client
32;08/08/1991;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Mobilier /equipements;4020;24;0;;Bon client
33;12/09/1988;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;1;Pas de credit/credit rembourse;2;0-200 EUR;100-500 EUR;Car (new);5866;18;0;;Bon client
34;15/03/1961;Homme;Non qualifie;>=7 ans;Location;4;Inconnu/Pas de propriete;0;Compte critique / Autres credits (autre banque);1;Pas de compte courant;Compte cheque inconnu;Affaires;1264;12;0;;Bon client
35;18/10/1985;Femme;Tres qualifie/independants;< 1 an;Proprietaire;1;Accord de construction;1;Pas de credit/credit rembourse;1;>=200 EUR;< 100 EUR;Mobilier /equipements;1474;12;0;;Bon client
36;18/10/1993;Homme;Non qualifie;< 1 an;Proprietaire;2;Accord de construction;0;Compte critique / Autres credits (autre banque);2;0-200 EUR;< 100 EUR;Radio/Television;4746;45;0;;Mauvais client
37;14/06/1987;Homme;Qualifie/fonctionnaire;1-4 ans;Logement gratuit;3;Inconnu/Pas de propriete;1;Compte critique / Autres credits (autre banque);1;Pas de compte courant;< 100 EUR;Education;6110;48;0;;Bon client
38;21/02/1981;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;0;Pas de credit/credit rembourse;1;>=200 EUR;< 100 EUR;Radio/Television;2100;18;1;;Mauvais client
39;11/07/1981;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;1;Pas de credit/credit rembourse;1;>=200 EUR;< 100 EUR;Appareils menagers;1225;10;0;;Bon client
40;20/04/1994;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;3;Bien immobilier;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Radio/Television;458;9;0;Aucun;Bon client
41;15/05/1988;Homme;Tres qualifie/independants;>=7 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;Pas de compte courant;500-1000 EUR;Radio/Television;2333;30;0;;Bon client
42;15/11/1992;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;1;Voiture ou autre;1;Pas de credit/credit rembourse;1;0-200 EUR;500-1000 EUR;Radio/Television;1158;12;0;;Bon client
43;15/05/1974;Homme;Non qualifie;1-4 ans;Proprietaire;4;Bien immobilier;1;Au moins un retard de paiement;1;0-200 EUR;< 100 EUR;Reparation;6204;18;0;;Bon client
44;21/07/1994;Homme;Qualifie/fonctionnaire;4 a 7 ans;Location;4;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;< 0EUR;100-500 EUR;Car (used);6187;30;0;;Bon client
45;24/06/1960;Femme;Non qualifie;>=7 ans;Logement gratuit;4;Inconnu/Pas de propriete;0;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Car (used);6143;48;0;;Mauvais client
46;31/03/1983;Femme;Tres qualifie/independants;< 1 an;Proprietaire;4;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;Pas de compte courant;< 100 EUR;Car (new);1393;11;0;;Bon client
47;29/09/1979;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Voiture ou autre;0;Pas de credit/credit rembourse;1;Pas de compte courant;500-1000 EUR;Radio/Television;2299;36;0;;Bon client
48;04/08/1995;Femme;Sans emploi;Sans emploi;Location;2;Accord de construction;1;Pas de credit/credit rembourse;1;< 0EUR;500-1000 EUR;Car (used);1352;6;0;;Bon client
49;05/03/1979;Homme;Non qualifie;1-4 ans;Proprietaire;4;Accord de construction;0;Compte critique / Autres credits (autre banque);2;Pas de compte courant;< 100 EUR;Car (new);7228;11;0;;Bon client
50;31/07/1990;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;0;Pas de credit/credit rembourse;1;Pas de compte courant;100-500 EUR;Radio/Television;2073;12;1;;Bon client
51;16/08/1989;Homme;Non qualifie;< 1 an;Proprietaire;2;Accord de construction;0;Au moins un retard de paiement;1;0-200 EUR;Compte cheque inconnu;Mobilier /equipements;2333;24;0;;Bon client
52;12/07/1988;Homme;Tres qualifie/independants;>=7 ans;Proprietaire;2;Voiture ou autre;1;Au moins un retard de paiement;2;0-200 EUR;< 100 EUR;Car (used);5965;27;0;;Bon client
53;22/02/1993;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Radio/Television;1262;12;0;;Bon client
54;21/08/1987;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;1;Accord de construction;1;Pas de credit/credit rembourse;1;Pas de compte courant;Compte cheque inconnu;Car (used);3378;18;0;;Bon client
55;27/07/1961;Homme;Qualifie/fonctionnaire;>=7 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Au moins un retard de paiement;2;0-200 EUR;< 100 EUR;Car (new);2225;36;0;;Mauvais client
56;25/09/1992;Homme;Non qualifie;1-4 ans;Proprietaire;2;Bien immobilier;0;Pas de credit/credit rembourse;1;Pas de compte courant;Compte cheque inconnu;Car (new);783;6;1;;Bon client
57;26/04/1966;Homme;Tres qualifie/independants;Sans emploi;Proprietaire;1;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;0-200 EUR;Compte cheque inconnu;Radio/Television;6468;12;0;;Mauvais client
58;25/06/1987;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;Pas de compte courant;< 100 EUR;Radio/Television;9566;36;0;;Bon client
59;26/11/1995;Femme;Tres qualifie/independants;>=7 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;>=200 EUR;< 100 EUR;Car (new);1961;18;0;;Bon client
60;09/08/1995;Femme;Non qualifie;< 1 an;Location;4;Inconnu/Pas de propriete;1;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Mobilier /equipements;6229;36;1;;Mauvais client
61;26/10/1991;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;1;Bien immobilier;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Affaires;1391;9;0;;Bon client
62;13/10/1968;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Bien immobilier;1;Compte critique / Autres credits (autre banque);2;0-200 EUR;Compte cheque inconnu;Radio/Television;1537;15;1;;Bon client
63;25/06/1957;Homme;Tres qualifie/independants;>=7 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Affaires;1953;36;0;;Mauvais client
64;27/06/1993;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Affaires;14421;48;0;;Mauvais client
65;07/08/1992;Femme;Qualifie/fonctionnaire;< 1 an;Proprietaire;4;Accord de construction;1;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Radio/Television;3181;24;0;;Bon client
66;28/05/1970;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Accord de construction;1;Pas de credit/credit rembourse;4;Pas de compte courant;Compte cheque inconnu;Reparation;5190;27;0;;Bon client
67;24/07/1989;Femme;Qualifie/fonctionnaire;< 1 an;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Radio/Television;2171;12;0;;Bon client
68;08/10/1996;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;1;Bien immobilier;0;Pas de credit/credit rembourse;1;0-200 EUR;>=1000 EUR;Car (new);1007;12;0;;Bon client
69;26/10/1981;Homme;Qualifie/fonctionnaire;1-4 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Education;1819;36;0;Magasins;Mauvais client
70;01/04/1993;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;4;Voiture ou autre;0;Pas de credit/credit rembourse;1;Pas de compte courant;Compte cheque inconnu;Radio/Television;2394;36;0;;Bon client
71;30/11/1988;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Accord de construction;0;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Car (used);8133;36;0;;Bon client
72;24/05/1972;Homme;Non qualifie;>=7 ans;Location;2;Accord de construction;1;Compte critique / Autres credits (autre banque);2;Pas de compte courant;Compte cheque inconnu;Radio/Television;730;7;0;;Bon client
73;15/04/1967;Homme;Tres qualifie/independants;>=7 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Autres;1164;8;0;;Bon client
74;20/12/1977;Femme;Non qualifie;4 a 7 ans;Proprietaire;1;Bien immobilier;0;Compte critique / Autres credits (autre banque);2;0-200 EUR;< 100 EUR;Affaires;5954;42;0;;Bon client
75;15/04/1978;Homme;Tres qualifie/independants;>=7 ans;Proprietaire;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;< 0EUR;Compte cheque inconnu;Education;1977;36;0;;Mauvais client
76;30/11/1952;Homme;Tres qualifie/independants;>=7 ans;Logement gratuit;4;Inconnu/Pas de propriete;0;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Car (used);1526;12;0;;Bon client
77;02/02/1984;Homme;Qualifie/fonctionnaire;< 1 an;Proprietaire;3;Voiture ou autre;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Radio/Television;3965;42;0;;Mauvais client
78;17/04/1967;Homme;Qualifie/fonctionnaire;4 a 7 ans;Proprietaire;4;Accord de construction;0;Au moins un retard de paiement;1;0-200 EUR;< 100 EUR;Radio/Television;4771;11;0;;Bon client
79;04/02/1979;Homme;Non qualifie;1-4 ans;Proprietaire;2;Accord de construction;0;Pas de credit/credit rembourse;1;Pas de compte courant;Compte cheque inconnu;Car (used);9436;54;0;;Bon client
80;29/07/1996;Homme;Qualifie/fonctionnaire;< 1 an;Proprietaire;1;Accord de construction;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Mobilier /equipements;3832;30;0;;Bon client
81;19/12/1974;Femme;Qualifie/fonctionnaire;< 1 an;Proprietaire;1;Voiture ou autre;1;Pas de credit/credit rembourse;2;Pas de compte courant;Compte cheque inconnu;Radio/Television;5943;24;0;;Mauvais client
82;14/05/1971;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;3;Accord de construction;1;Pas de credit/credit rembourse;1;Pas de compte courant;500-1000 EUR;Radio/Television;1213;15;0;;Bon client
83;26/03/1994;Femme;Non qualifie;1-4 ans;Location;4;Accord de construction;0;Pas de credit/credit rembourse;1;Pas de compte courant;100-500 EUR;Affaires;1568;18;0;;Bon client
84;06/04/1960;Femme;Non qualifie;>=7 ans;Proprietaire;4;Bien immobilier;1;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Autres;1755;24;1;;Bon client
85;22/09/1966;Homme;Non qualifie;>=7 ans;Proprietaire;4;Bien immobilier;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Radio/Television;2315;10;0;;Bon client
86;06/10/1989;Femme;Tres qualifie/independants;1-4 ans;Proprietaire;2;Bien immobilier;1;Compte critique / Autres credits (autre banque);2;Pas de compte courant;< 100 EUR;Affaires;1412;12;1;;Bon client
87;02/08/1991;Femme;Qualifie/fonctionnaire;< 1 an;Proprietaire;1;Accord de construction;0;Compte critique / Autres credits (autre banque);2;0-200 EUR;< 100 EUR;Mobilier /equipements;1295;18;0;;Bon client
88;28/07/1971;Homme;Qualifie/fonctionnaire;1-4 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;0-200 EUR;100-500 EUR;Education;12612;36;0;;Mauvais client
89;11/06/1988;Homme;Tres qualifie/independants;4 a 7 ans;Proprietaire;3;Voiture ou autre;1;Pas de credit/credit rembourse;1;< 0EUR;100-500 EUR;Car (new);2249;18;0;;Bon client
90;28/07/1990;Homme;Qualifie/fonctionnaire;4 a 7 ans;Proprietaire;3;Bien immobilier;0;Pas de credit/credit rembourse;2;< 0EUR;< 100 EUR;Reparation;1108;12;0;;Mauvais client
91;25/03/1962;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Bien immobilier;0;Compte critique / Autres credits (autre banque);1;Pas de compte courant;< 100 EUR;Radio/Television;618;12;0;;Bon client
92;26/08/1964;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;3;Bien immobilier;0;Compte critique / Autres credits (autre banque);1;< 0EUR;< 100 EUR;Car (used);1409;12;0;;Bon client
93;14/05/1985;Femme;Non qualifie;>=7 ans;Proprietaire;3;Accord de construction;0;Compte critique / Autres credits (autre banque);1;Pas de compte courant;Compte cheque inconnu;Radio/Television;797;12;0;;Mauvais client
94;10/07/1998;Homme;Qualifie/fonctionnaire;>=7 ans;Location;4;Inconnu/Pas de propriete;0;Compte critique / Autres credits (autre banque);2;>=200 EUR;Compte cheque inconnu;Mobilier /equipements;3617;24;1;;Bon client
95;08/06/1964;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Bien immobilier;1;Pas de credit/credit rembourse;1;0-200 EUR;>=1000 EUR;Car (new);1318;12;0;;Bon client
96;25/02/1960;Homme;Qualifie/fonctionnaire;< 1 an;Location;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Affaires;15945;54;0;;Mauvais client
97;09/09/1957;Femme;Qualifie/fonctionnaire;4 a 7 ans;Proprietaire;2;Voiture ou autre;0;Compte critique / Autres credits (autre banque);1;Pas de compte courant;Compte cheque inconnu;Education;2012;12;0;;Bon client
98;17/07/1984;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;4;Voiture ou autre;0;Pas de credit/credit rembourse;1;0-200 EUR;100-500 EUR;Affaires;2622;18;0;Aucun;Bon client
99;09/09/1982;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Bien immobilier;0;Compte critique / Autres credits (autre banque);1;0-200 EUR;< 100 EUR;Radio/Television;2337;36;0;Aucun;Bon client
100;25/05/1982;Homme;Tres qualifie/independants;4 a 7 ans;Location;4;Accord de construction;1;Au moins un retard de paiement;2;0-200 EUR;Compte cheque inconnu;Car (used);7057;20;0;;Bon client
101;24/06/1977;Homme;Non qualifie;>=7 ans;Location;4;Bien immobilier;0;Pas de credit/credit rembourse;1;Pas de compte courant;100-500 EUR;Car (new);1469;24;0;;Bon client
102;08/08/1994;Homme;Qualifie/fonctionnaire;4 a 7 ans;Location;4;Voiture ou autre;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Radio/Television;2323;36;0;;Bon client
103;23/08/1994;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;0;Au moins un retard de paiement;1;Pas de compte courant;< 100 EUR;Radio/Television;932;6;0;;Bon client
104;02/02/1983;Homme;Qualifie/fonctionnaire;4 a 7 ans;Location;3;Voiture ou autre;1;Compte critique / Autres credits (autre banque);1;0-200 EUR;< 100 EUR;Mobilier /equipements;1919;9;0;;Bon client
105;26/08/1992;Homme;Qualifie/fonctionnaire;< 1 an;Location;4;Voiture ou autre;1;Pas de credit/credit rembourse;1;Pas de compte courant;Compte cheque inconnu;Car (used);2445;12;0;;Bon client
106;10/12/1979;Homme;Tres qualifie/independants;1-4 ans;Proprietaire;3;Voiture ou autre;1;Compte critique / Autres credits (autre banque);2;0-200 EUR;< 100 EUR;Autres;11938;24;1;;Mauvais client
107;02/08/1979;Homme;Tres qualifie/independants;>=7 ans;Proprietaire;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;2;Pas de compte courant;< 100 EUR;Car (new);6458;18;0;;Mauvais client
108;26/06/1986;Homme;Qualifie/fonctionnaire;4 a 7 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Car (new);6078;12;0;;Bon client
109;18/07/1988;Femme;Qualifie/fonctionnaire;< 1 an;Proprietaire;2;Accord de construction;1;Pas de credit/credit rembourse;1;< 0EUR;Compte cheque inconnu;Mobilier /equipements;7721;24;0;;Bon client
110;07/12/1983;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;2;Bien immobilier;1;Pas de credit/credit rembourse;1;0-200 EUR;500-1000 EUR;Affaires;1410;14;0;;Bon client
111;04/07/1987;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;2;Voiture ou autre;0;Au moins un retard de paiement;2;0-200 EUR;100-500 EUR;Affaires;1449;6;0;;Bon client
112;04/04/1995;Femme;Qualifie/fonctionnaire;< 1 an;Location;4;Accord de construction;1;Pas de credit/credit rembourse;1;>=200 EUR;< 100 EUR;Education;392;15;0;Aucun;Bon client
113;16/02/1990;Homme;Non qualifie;4 a 7 ans;Location;3;Bien immobilier;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Car (new);6260;18;0;;Bon client
114;14/07/1993;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;1;Compte critique / Autres credits (autre banque);2;Pas de compte courant;< 100 EUR;Car (new);7855;36;0;;Mauvais client
115;16/09/1983;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;1;Bien immobilier;0;Pas de credit/credit rembourse;1;< 0EUR;500-1000 EUR;Radio/Television;1680;12;0;;Bon client
116;11/05/1971;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;1;Bien immobilier;1;Compte critique / Autres credits (autre banque);1;Pas de compte courant;Compte cheque inconnu;Radio/Television;3578;48;0;;Bon client
117;13/11/1988;Femme;Tres qualifie/independants;4 a 7 ans;Proprietaire;3;Voiture ou autre;1;Pas de credit/credit rembourse;1;< 0EUR;Compte cheque inconnu;Radio/Television;7174;42;0;;Mauvais client
118;27/05/1991;Femme;Qualifie/fonctionnaire;< 1 an;Location;3;Bien immobilier;0;Compte critique / Autres credits (autre banque);2;< 0EUR;Compte cheque inconnu;Mobilier /equipements;2132;10;1;;Bon client
119;17/10/1995;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;4;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;< 0EUR;500-1000 EUR;Mobilier /equipements;4281;33;0;;Mauvais client
120;21/04/1982;Homme;Tres qualifie/independants;4 a 7 ans;Proprietaire;3;Voiture ou autre;1;Compte critique / Autres credits (autre banque);1;0-200 EUR;500-1000 EUR;Car (new);2366;12;0;;Bon client
121;24/09/1993;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;1;Pas de credit/credit rembourse;2;< 0EUR;< 100 EUR;Radio/Television;1835;21;0;;Mauvais client
122;19/05/1977;Femme;Tres qualifie/independants;>=7 ans;Location;2;Voiture ou autre;1;Compte critique / Autres credits (autre banque);2;Pas de compte courant;< 100 EUR;Car (used);3868;24;0;;Bon client
123;06/03/1994;Homme;Non qualifie;1-4 ans;Location;2;Bien immobilier;0;Pas de credit/credit rembourse;1;Pas de compte courant;< 100 EUR;Mobilier /equipements;1768;12;0;;Bon client
124;14/05/1955;Homme;Qualifie/fonctionnaire;>=7 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Compte critique / Autres credits (autre banque);2;>=200 EUR;< 100 EUR;Car (new);781;10;0;;Bon client
125;06/01/1991;Femme;Qualifie/fonctionnaire;< 1 an;Location;3;Bien immobilier;0;Pas de credit/credit rembourse;1;0-200 EUR;Compte cheque inconnu;Mobilier /equipements;1924;18;0;;Mauvais client
126;22/03/1988;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Accord de construction;0;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Car (new);2121;12;0;;Bon client
127;17/10/1978;Homme;Non qualifie;1-4 ans;Proprietaire;2;Bien immobilier;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Radio/Television;701;12;0;;Bon client
128;15/02/1988;Homme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Voiture ou autre;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Reparation;639;12;0;;Mauvais client
129;25/02/1984;Homme;Tres qualifie/independants;Sans emploi;Proprietaire;2;Voiture ou autre;1;Compte critique / Autres credits (autre banque);2;0-200 EUR;< 100 EUR;Car (used);1860;12;0;;Bon client
130;18/03/1989;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;0;Compte critique / Autres credits (autre banque);2;< 0EUR;< 100 EUR;Car (new);3499;12;1;;Mauvais client
